"id","date_collected","retailer_type","retailer_detail","food_type","food_detail","label_type","label_language","label_date","approximate_dollar_value","image_id","collection_lat","collection_long","label_explanation"
"5f4bc6709bc38e8c3bf3ae39","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","deli wrap","package printed","exp","2020-08-25","8.5","IMG_4020","40.69485","-73.9949",""
"5f4bc68e9bc38e8c3bf3ae3a","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","deli wrap","package printed","exp","2020-08-25","8.5","IMG_4021","40.69485","-73.9949",""
"5f4bc6a39bc38e8c3bf3ae3b","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","deli wrap","package printed","exp","2020-08-24","8.5","IMG_4022","40.69485","-73.9949",""
"5f4bc7839bc38e8c3bf3ae3c","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","spicy avocado blt","package printed","exp","2020-08-24","8.5","IMG_4023","40.69485","-73.9949",""
"5f4bc8289bc38e8c3bf3ae3d","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","brussels sprouts","package printed","","x0374107","3.99","IMG_4024","40.69485","-73.9949",""
"5f4bc8b89bc38e8c3bf3ae3e","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","farro kale salad","package printed","sell by","2020-08-21","9.13","IMG_4028","40.69485","-73.9949",""
"5f4bc9a99bc38e8c3bf3ae3f","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","veggie meatloaf large","package printed","sell by","2020-08-14","8.07","IMG_4029","40.69485","-73.9949",""
"5f4bc9ed9bc38e8c3bf3ae40","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","yankee pot roast","package printed","sell by","2020-08-23","14.4","IMG_4030","40.69485","-73.9949",""
"5f4bd41b9bc38e8c3bf3ae41","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","yankee pot roast","package printed","sell by","2020-08-23","14.4","IMG_4031","40.69485","-73.9949",""
"5f4bd45c9bc38e8c3bf3ae42","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","chicken salad","package printed","sell by","2020-08-24","5.76","IMG_4032","40.69485","-73.9949",""
"5f4bd5249bc38e8c3bf3ae43","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","chicken salad","package printed","sell by","2020-08-21","6.23","IMG_4033","40.69485","-73.9949",""
"5f4bd56a9bc38e8c3bf3ae44","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","whitefish salad","package printed","sell by","2020-08-28","12.05","IMG_4034","40.69485","-73.9949",""
"5f4bd5a99bc38e8c3bf3ae45","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","pesto tortellini","package printed","sell by","2020-08-23","4.14","IMG_4035","40.69485","-73.9949",""
"5f4bd61c9bc38e8c3bf3ae46","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","cut cantaloupe","package printed","sell by","2020-08-22","4.34","IMG_4036","40.69485","-73.9949",""
"5f4bd69d9bc38e8c3bf3ae47","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","orzo pasta salad","package printed","sell by","2020-08-23","2.82","IMG_4037","40.69485","-73.9949",""
"5f4bd7059bc38e8c3bf3ae48","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","orzo pasta salad","package printed","sell by","2020-08-23","3.17","IMG_4038","40.69485","-73.9949",""
"5f4bd7879bc38e8c3bf3ae49","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","cut pineapple","package printed","sell by","2020-08-22","4.49","IMG_4039","40.69485","-73.9949",""
"5f4bd8279bc38e8c3bf3ae4a","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","toasted freekeh pilaf","package printed","sell by","2020-08-23","4.23","IMG_4040","40.69485","-73.9949",""
"5f4bd8c99bc38e8c3bf3ae4b","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","carrot and celery sticks","package printed","exp","2020-08-23","2.95","IMG_4045","40.69485","-73.9949",""
"5f4bd97f9bc38e8c3bf3ae4c","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","carrot and celery sticks","package printed","exp","2020-08-23","2.95","IMG_4046","40.69485","-73.9949",""
"5f4bd9999bc38e8c3bf3ae4d","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","carrot and celery sticks","package printed","exp","2020-08-23","2.95","IMG_4048","40.69485","-73.9949",""
"5f4bd9c69bc38e8c3bf3ae4e","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","orange slices","package printed","sell by","2020-08-23","4.05","IMG_4044","40.69485","-73.9949",""
"5f4bda3d9bc38e8c3bf3ae4f","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","roasted brussels sprouts","package printed","sell by","2020-08-18","10.55","IMG_4043","40.69485","-73.9949",""
"5f4bda7b9bc38e8c3bf3ae50","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","roasted cauliflower","package printed","sell by","2020-08-21","14.38","IMG_4042","40.69485","-73.9949",""
"5f4bdabb9bc38e8c3bf3ae51","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","roasted cauliflower","package printed","sell by","2020-08-24","10.43","IMG_4041","40.69485","-73.9949",""
"5f4bdb8f9bc38e8c3bf3ae52","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","brussels sprouts","package printed","","x0374107","3.99","IMG_4027","40.69485","-73.9949",""
"5f4bdbf29bc38e8c3bf3ae53","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","brussels sprouts","package printed","","x0374107","3.99","IMG_4026","40.69485","-73.9949",""
"5f4bdc0a9bc38e8c3bf3ae54","2020-08-24","bakery/deli","ready-to-eat and prepackaged food","packaged","brussels sprouts","package printed","","x0374107","3.99","IMG_4025","40.69485","-73.9949",""
"5fb845f1797bb408d1ba2b8a","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3958","40.69415","-73.99233",""
"5fb84608797bb408d1ba2b8b","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3959","40.69415","-73.99233",""
"5fb8461b797bb408d1ba2b8c","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3960","40.69415","-73.99233",""
"5fb8462a797bb408d1ba2b8d","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3961","40.69415","-73.99233",""
"5fb8463b797bb408d1ba2b8e","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3962","40.69415","-73.99233",""
"5fb8464d797bb408d1ba2b8f","2020-10-29","drugstore","ready-to-eat, shelf-stable, and frozen food","perishable","yogurt","package printed","","2020-10-29","1.89","IMG_3963","40.69415","-73.99233",""
